|Name|Genre|Description|Duration|ContentRating|Rating
117|Indiana Jones and the Last Crusade|Action, Adventure|In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.|PT2H7M|PG-13|8.2
118|Taare Zameen Par|Drama, Family|An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.|PT2H42M|PG|8.3
119|Metropolis|Drama, Sci-Fi|In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.|PT2H33M|Not Rated|8.3
120|Snatch|Comedy, Crime|Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.|PT1H44M|R|8.2
121|1917|Action, Drama, History|April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.|PT1H59M|R|8.2
122|L.A. Confidential|Crime, Drama, Mystery|As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.|PT2H18M|R|8.2
123|Ladri di biciclette|Drama|In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.|PT1H29M|Not Rated|8.3
124|Hamilton|Biography, Drama, History|The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.|PT2H40M|PG-13|8.3
125|Der Untergang|Biography, Drama, History|Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII.|PT2H36M|R|8.2
126|Taxi Driver|Crime, Drama|A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.|PT1H54M|R|8.2
127|Dangal|Action, Biography, Drama|Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.|PT2H41M|Not Rated|8.3
128|Batman Begins|Action, Crime, Drama|After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.|PT2H20M|PG-13|8.2
129|Per qualche dollaro in più|Drama, Western|Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.|PT2H12M|R|8.2
130|The Wolf of Wall Street|Biography, Comedy, Crime|Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.|PT3H|R|8.2
131|Green Book|Biography, Comedy, Drama|A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.|PT2H10M|12A|8.2
132|Some Like It Hot|Comedy, Music, Romance|After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.|PT2H1M|Approved|8.2
133|The Kid|Comedy, Drama, Family|The Tramp cares for an abandoned child, but events put their relationship in jeopardy.|PT1H8M|Passed|8.2
134|The Truman Show|Comedy, Drama|An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape.|PT1H43M|PG|8.2
135|Judgment at Nuremberg|Drama, War|Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti...|PT2H59M|Approved|8.3
136|The Father|Drama, Mystery|A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.|PT1H37M|PG-13|8.2
137|All About Eve|Drama|Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.|PT2H18M|Approved|8.2
138|Shutter Island|Drama, Mystery, Thriller|Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.|PT2H18M|R|8.2
139|There Will Be Blood|Drama|A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.|PT2H38M|R|8.2
140|Jurassic Park|Action, Adventure, Sci-Fi|An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger.|PT2H7M|PG-13|8.2
141|Top Gun: Maverick|Action, Drama|The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.|PT2H10M|PG-13|8.2
142|Casino|Crime, Drama|In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.|PT2H58M|R|8.2
143|Ran|Action, Drama, War|In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.|PT2H40M|R|8.2
144|The Sixth Sense|Drama, Mystery, Thriller|Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.|PT1H47M|PG-13|8.2
145|El laberinto del fauno|Drama, Fantasy, War|In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.|PT1H58M|R|8.2
146|Unforgiven|Drama, Western|Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.|PT2H10M|R|8.2
147|No Country for Old Men|Crime, Drama, Thriller|Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.|PT2H2M|R|8.2
148|The Thing|Horror, Mystery, Sci-Fi|A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.|PT1H49M|18|8.2
149|A Beautiful Mind|Biography, Drama, Mystery|A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.|PT2H15M|PG-13|8.2
